id,source,source_url,preview
fresno_so_2020_007,FRESNO SO,https://www.fresnosheriff.org/media-relations/fresno-county-courts-announce-reduced-operations-schedule.html,"March 20, 2020 Publication date: 2020-03-20 Source: Provisions released on March 19, 2020 On March 4, 2020, Governor Gavin Newsom issued a Proclamation of a State Emergency concerning COVID-19. On March 12, 2020 Governor"
fresno_so_2014_006,FRESNO SO,https://www.fresnosheriff.org/media-relations/east-side-west-side-marijuana-grows-end-in-arrests-eradication-of-several-marijuana-plants.html,"June 02, 2014 Publication date: 2014-06-02 Source: Fresno County Sheriff’s detectives were busy the last two weeks investigating three separate illegal marijuana grows, two in the eastern foothills, and one near the City"
fresno_so_2015_015,FRESNO SO,https://www.fresnosheriff.org/media-relations/deputies-prevent-woman-from-being-injured-during-a-violent-domestic-disturbance-call.html,"July 31, 2015 Publication date: 2015-07-31 Source: Around 12:00 pm on Friday, the Fresno County Sheriff’s Office Dispatch Center received a 911 call from a woman who lives in the area of Belmont and Leonard Ave. in Fresn"
fresno_so_2016_012,FRESNO SO,https://www.fresnosheriff.org/media-relations/porta-potty-theft-leads-to-pot-bust-and-arrests.html,"February 24, 2016 Publication date: 2016-02-24 Source: Detectives with the Fresno County Sheriff’s Office Ag Task Force have arrested Juan Magana, 50, of Fresno and Christy Angle, 36, of Fresno. Magana has been booked in"
fresno_so_2018_006,FRESNO SO,https://www.fresnosheriff.org/media-relations/detectives-arrest-four-in-auberry-for-connections-to-robbery.html,"July 12, 2018 Publication date: 2018-07-12 Source: On July 11th, property crimes detectives with the Fresno County Sheriff’s Office arrested 31 year old Ruben Walker of Auberry, 30 year old Brian Hall of Auberry, 41 year"
fresno_so_2016_013,FRESNO SO,https://www.fresnosheriff.org/media-relations/deputies-arrest-dui-suspect-after-he-crashes-into-family-of-five.html,"August 08, 2016 Publication date: 2016-08-08 Source: Fresno County Sheriff’s deputies have booked Ronald Lemke, 49, of Fresno into the Fresno County Jail. He faces felony charges of evading police, assault with a deadly "
fresno_so_2020_009,FRESNO SO,https://www.fresnosheriff.org/media-relations/cell-phone-recovered-from-canal-helps-detectives-arrest-man-for-robbery-and-battery.html,"January 07, 2020 Publication date: 2020-01-07 Source: Property crimes detectives with the Fresno County Sheriff’s Office have arrested 21 year old Amilcar Alfaro of Fresno. He has been booked into the Fresno County Jail "
fresno_so_2023_001,FRESNO SO,https://www.fresnosheriff.org/media-relations/selma-cop-killer-officially-charged-during-court-appearance.html,"February 03, 2023 Publication date: 2023-02-03 Source: Around 11:45 am on Tuesday, January 31, Selma Police Officer Gonzalo Carrasco Jr. was patrolling the 2600 block of Pine Street in Selma when he pulled over to do a s"
fresno_so_2025_005,FRESNO SO,https://www.fresnosheriff.org/media-relations/deputies-arrest-burglar-who-groped-woman-in-bed.html,"July 18, 2025 Publication date: 2025-07-18 Source: Fresno County Sheriff’s deputies have arrested 32 year old Ernest Daniel Linton of Fresno. He has been booked into the Fresno County Jail on felony charges of home invas"
fresno_so_2013_004,FRESNO SO,https://www.fresnosheriff.org/media-relations/details-regarding-the-release-of-walter-mcdaniel-from-the-fresno-county-jail.html,"July 18, 2013 Publication date: 2013-07-18 Source: Due to the recent events surrounding Walter Levon McDaniel, and several media requests, the Sheriff's Office is releasing the following information regarding the July 6t"
fresno_so_2016_015,FRESNO SO,https://www.fresnosheriff.org/media-relations/detectives-investigate-double-homicide-at-a-home-in-the-foothills.html,"January 21, 2016 Publication date: 2016-01-21 Source: Around 12:30 am on Thursday, the Fresno County Sheriff’s Office received a 911 call where the caller stated that there was an injured woman at a home on the 20000 blo"
fresno_so_2024_008,FRESNO SO,https://www.fresnosheriff.org/media-relations/court-security-catches-woman-carrying-baby-and-gun.html,"April 09, 2024 Publication date: 2024-04-09 Source: Deputies have arrested 24 year old Lizeth Alaniz Perez of Selma. She has been booked into the Fresno County Jail on several felony gun-related charges. Her bail is set "
fresno_so_2015_016,FRESNO SO,https://www.fresnosheriff.org/media-relations/register-for-the-prescription-drug-abuse-5k-run-walk.html,"April 10, 2015 Publication date: 2015-04-10 Source: The community is encouraged to sign-up and take part in the “Stomp it Out 5K Fun Run/Walk” on Saturday, April 18th at Alta Sierra Intermediate School in Clovis. During "
fresno_so_2015_017,FRESNO SO,https://www.fresnosheriff.org/media-relations/sheriff-s-activity-league-sal-career-day.html,"July 23, 2015 Publication date: 2015-07-23 Source: On Thursday, the Sheriff’s Foundation for Public Safety hosted a Career Day event as part of the Sheriff’s Activity League (SAL) Summer Program. The 4-week SAL program e"
fresno_so_2016_016,FRESNO SO,https://www.fresnosheriff.org/media-relations/detectives-identify-kidnapping-motive-and-suspects.html,"February 16, 2016 Publication date: 2016-02-16 Source: - Fresno County Sheriff's detectives have identified and arrested three people involved in the kidnapping of a Clovis teenager. They are: Sandra Garcia, 40 of Madera"
fresno_so_2016_017,FRESNO SO,https://www.fresnosheriff.org/media-relations/3rd-annual-prescription-drug-abuse-awareness-5k-and-drop-off-day.html,"April 11, 2016 Publication date: 2016-04-11 Source: A kick-off rally will be held on Wednesday, April 13th at 5:30 pm. It takes place at the Alta Sierra Intermediate School Football Stadium, 380 W. Teague Ave. in Clovis."
fresno_so_2017_005,FRESNO SO,https://www.fresnosheriff.org/media-relations/detectives-arrest-home-invasion-crew.html,"February 24, 2017 Publication date: 2017-02-24 Source: At 4:00 am on February 7, 2017, Fresno County Sheriff’s deputies were dispatched to a report of a home invasion robbery. This occurred at a home on the 3400 block of"
fresno_so_2017_006,FRESNO SO,https://www.fresnosheriff.org/media-relations/sheriff-s-office-receives-1-8-million-forfeiture-from-synthetic-drug-case.html,"May 19, 2017 Publication date: 2017-05-19 Source: The U.S. Attorney’s Office has distributed to the Fresno County Sheriff’s Office $1,813,575 of forfeited drug proceeds seized in connection with the investigation of a sy"
fresno_so_2017_007,FRESNO SO,https://www.fresnosheriff.org/media-relations/sheriff-closes-kings-river-to-recreational-users.html,"May 24, 2017 Publication date: 2017-05-24 Source: Effective immediately, the Fresno County Sheriff’s Office is closing the Kings River from Pine Flat Dam to the Tulare and Kings County lines. Sheriff Margaret Mims has ma"
fresno_so_2017_008,FRESNO SO,https://www.fresnosheriff.org/media-relations/boat-sinks-in-pine-flat-lake-woman-dead-man-injured.html,"May 26, 2017 Publication date: 2017-05-26 Source: - On Saturday, the Fresno County Sheriff's Dive Team and Boating Enforcement Unit worked together to successfully recover the wrecked boat from Pine Flat Lake. It is now "
fresno_so_2017_009,FRESNO SO,https://www.fresnosheriff.org/media-relations/suspect-identified-in-selma-police-officer-involved-shooting.html,"June 13, 2017 Publication date: 2017-06-13 Source: - The suspect shot and killed by Selma Police officers has been identified as 45 year old Johnny Platas of Selma. On Monday, June 12 at about 7:10 pm, Selma Police offic"
fresno_so_2017_010,FRESNO SO,https://www.fresnosheriff.org/media-relations/operation-dry-water-aims-to-curb-buzzed-boating.html,"June 30, 2017 Publication date: 2017-06-30 Source: Thousands of law enforcement officers across the United States will be on heightened alert for those violating boating under the influence laws during the annual Operati"
fresno_so_2017_011,FRESNO SO,https://www.fresnosheriff.org/media-relations/sheriff-mims-reopens-kings-river-to-recreational-users.html,"July 17, 2017 Publication date: 2017-07-17 Source: Effective immediately, the Fresno County Sheriff’s Office is reopening the Kings River from Pine Flat Dam to the Tulare and Kings County lines. In late May, Sheriff Marg"
fresno_so_2018_007,FRESNO SO,https://www.fresnosheriff.org/media-relations/5th-annual-prescription-drug-abuse-awareness-obstacle-race-and-drop-off-day.html,"October 12, 2018 Publication date: 2018-10-12 Source: The community is encouraged to sign-up and Conquer the Course during the “Stomp it Out 2.7 Mile Obstacle Race” on Saturday, November 10 at Fresno State, located at 52"
fresno_so_2019_006,FRESNO SO,https://www.fresnosheriff.org/media-relations/man-from-parlier-shooting-is-identified.html,"April 11, 2019 Publication date: 2019-04-11 Source: - 26 year old Selena Lopez of Parlier has died. Lopez passed away in the hospital on April 14th, where she was receiving treatment for a gunshot wound she received on A"
fresno_so_2019_007,FRESNO SO,https://www.fresnosheriff.org/media-relations/swatting-call-lands-fresno-man-in-jail.html,"May 21, 2019 Publication date: 2019-05-21 Source: Fresno County Sheriff’s deputies have booked 27 year old Jesus Lopez-Zucilla of Fresno into the Fresno County Jail. He faces a misdemeanor charge of making a false emerge"
fresno_so_2019_008,FRESNO SO,https://www.fresnosheriff.org/media-relations/sheriff-margaret-mims-advises-citizens-to-plan-for-a-possible-closure-of-the-kings-river.html,"May 31, 2019 Publication date: 2019-05-31 Source: The Fresno County Sheriff’s Office is actively monitoring rising water levels on the Kings River from Pine Flat Dam to the Tulare and Kings County lines. Due to informati"
fresno_so_2019_009,FRESNO SO,https://www.fresnosheriff.org/media-relations/kings-river-closed-off-to-recreational-users.html,"June 04, 2019 Publication date: 2019-06-04 Source: Effective immediately, the Fresno County Sheriff’s Office is closing the Kings River from Pine Flat Dam to the Tulare and Kings County lines. Sheriff Margaret Mims has m"
fresno_so_2019_010,FRESNO SO,https://www.fresnosheriff.org/media-relations/arrests-made-guns-seized-during-multi-agency-gang-enforcement-operation-in-kingsburg.html,"June 14, 2019 Publication date: 2019-06-14 Source: On Friday, members of the Multi-Agency Gang Enforcement Consortium (MAGEC), the Fresno County Sheriff's Office, Clovis Police Department, Hanford Police Department, King"
fresno_so_2019_011,FRESNO SO,https://www.fresnosheriff.org/media-relations/man-rescued-from-kings-river.html,"June 28, 2019 Publication date: 2019-06-28 Source: A man in his late 20s is in the hospital after nearly drowning in the Kings River on Friday. His condition is unknown. Around 1:45 pm, a woman called Fresno Sheriff’s Of"
fresno_so_2019_012,FRESNO SO,https://www.fresnosheriff.org/media-relations/sheriff-mims-to-reopen-kings-river-to-recreational-users.html,"July 05, 2019 Publication date: 2019-07-05 Source: Effective Saturday, July 6th, 2019, the Fresno County Sheriff’s Office is reopening the Kings River from Pine Flat Dam to the Tulare and Kings County lines. On June 4th,"
fresno_so_2020_010,FRESNO SO,https://www.fresnosheriff.org/media-relations/fresno-county-sheriff-s-office-selects-dispatcher-of-the-year.html,"April 16, 2020 Publication date: 2020-04-16 Source: The Fresno County Sheriff’s Office is recognizing National Public Safety Telecommunications Week, which runs April 12th – 20th, 2020. At this time, we would like to int"
fresno_so_2020_011,FRESNO SO,https://www.fresnosheriff.org/media-relations/re-entry-phase-opens-to-allow-specific-residents-to-survey-creek-fire-damage.html,"September 21, 2020 Publication date: 2020-09-21 Source: The Fresno County Sheriff’s Office and Fresno County officials are collaborating to identify safe zones for re-entry within the burn area of the Creek Fire. These d"
